survey_year,respondent_no,개인 업무 특성_독립,개인 업무 특성_협업,내 자리 업무 행태,내 자리 업무 행태_1순위,내 자리 업무 행태_2순위,내 자리 업무 행태_3순위,내 자리 업무 행태__기타_텍스트,생산성이 증대되는 업무 장소,생산성이 증대되는 업무 장소__기타_텍스트,커뮤니케이션 행태,커뮤니케이션 행태_1순위,커뮤니케이션 행태_2순위,커뮤니케이션 행태_3순위,커뮤니케이션 행태__기타_텍스트,회의 횟수,회의 시간,회의 규모,회의 규모_1순위,회의 규모_2순위,회의 규모_3순위,업무 외 활동 니즈,업무 외 활동 니즈_1순위,업무 외 활동 니즈_2순위,업무 외 활동 니즈_3순위,업무 외 활동 니즈__기타_텍스트,오피스 경험 인식_기능 공간,오피스 경험 인식_생활 공간,사무환경 만족도_종합,사무환경 만족도_직원 배려,사무환경 만족도_업무 효율,사무환경 만족도_유연,사무환경 만족도_수평,조직문화 만족도_유연,조직문화 만족도_친밀함,조직문화 만족도_동기부여,조직문화 만족도_자율,조직문화 만족도_워라밸,커피를 마시며 동료와 대화,우연한 만남을 통한 가벼운 커뮤니케이션,필요에 맞게 자율적으로 일 할 공간을 선택,재충전을 위한 개인 휴식,필요에 맞게 협업 공간 선택,팀원 또는 유관 팀과 정기적 회의,서로의 작업 진행 상황과 정보를 공유,팀원 또는 유관 팀과 간단한 캐주얼 회의,혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동,업무 중 상급자와 부담없이 소통,통화나 회의로 발생하는 소음을 최소화,직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류
2025,1,90,10,1|2|4,1,2,4,,3,,1|5|3,1,5,3,,2,4,2|1|3,2,1,3,1|3|5,1,3,5,,5,5,5,2,2,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2
2025,2,75,25,1|2|4,1,2,4,,2,,1|4|3,1,4,3,,2,3,2|1|3,2,1,3,1|2|6,1,2,6,,4,4,2,1,2,1,1,1,3,1,2,3,1,1,1,1,1,5,4,5,1,2,1,2
2025,3,20,80,4|2|3,4,2,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,70,30,1|4|2,1,4,2,,1,,5|4|3,5,4,3,,2,2,1|2|3,1,2,3,1|7|8,1,7,8,,4,4,5,3,4,3,3,3,4,3,4,4,2,4,2,1,2,5,5,6,2,4,1,5
2025,5,70,30,2|1|4,2,1,4,,4,,3|1|4,3,1,4,,2,3,2|1|3,2,1,3,1|2|5,1,2,5,,4,5,4,3,3,2,2,2,4,3,3,4,4,3,3,1,2,5,3,2,5,6,2,5
2025,6,60,40,2|3|5,2,3,5,,1,,1|4|2,1,4,2,,2,2,1|2|3,1,2,3,1|6|2,1,6,2,,5,5,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,3,5,3,3,3
2025,7,30,70,1|3|4,1,3,4,,1,,1|4|3,1,4,3,,2,3,2|1|4,2,1,4,1|5|7,1,5,7,,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2025,8,30,70,4|2|1,4,2,1,,3,,1|5|3,1,5,3,,3,3,1|2|3,1,2,3,7|5|9,7,5,9,,5,4,2,2,3,1,2,2,4,3,3,3,2,4,2,1,4,4,4,4,2,2,4,3
2025,9,70,30,1|4|2,1,4,2,,1,,1|3|2,1,3,2,,3,2,1|2|3,1,2,3,1|2|7,1,2,7,,4,4,3,2,3,2,3,2,3,3,3,3,3,3,4,2,4,4,3,4,4,3,2,2
2025,10,70,30,4|1|2,4,1,2,,3,,1|5|3,1,5,3,,2,3,2|1|3,2,1,3,1|7|2,1,7,2,,4,4,3,2,4,3,3,4,4,3,3,3,6,5,4,3,3,4,4,4,4,5,3,4
2025,11,90,10,2|1|4,2,1,4,,1,,5|2|4,5,2,4,,2,2,1|2|3,1,2,3,7|8|9,7,8,9,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,4,5,6,4,6,6,6,6
2025,12,20,80,1|4|2,1,4,2,,1,,3|2|1,3,2,1,,1,1,2|1|3,2,1,3,4|1|2,4,1,2,,4,4,1,1,4,1,5,2,3,3,2,5,6,6,1,1,1,5,2,4,1,4,3,2
2025,13,80,20,1|4|2,1,4,2,,1,,1|3|5,1,3,5,,2,4,2|1|3,2,1,3,1|3|9,1,3,9,,5,5,5,2,3,2,4,3,3,3,3,3,2,2,4,3,2,3,3,3,4,4,3,4
2025,14,70,30,1|2|4,1,2,4,,1,,2|3|4,2,3,4,,2,2,1|2|3,1,2,3,1|6|9,1,6,9,,4,4,3,2,2,2,2,2,3,2,3,2,4,4,2,2,3,2,2,3,2,4,2,3
2025,15,60,40,1|2|3,1,2,3,,1,,1|3|4,1,3,4,,2,2,1|2|4,1,2,4,1|8|7,1,8,7,,2,4,,,,,,,,,,,,,,,,,,,,,,
2025,16,40,60,4|2|3,4,2,3,,4,,1|5|2,1,5,2,,2,3,1|2|3,1,2,3,5|4|9,5,4,9,,4,5,3,2,3,2,3,3,4,3,3,3,4,4,4,2,2,4,4,3,3,4,3,3
2025,17,80,20,2|4|5,2,4,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,18,70,30,1|2|4,1,2,4,,1,,1|2|5,1,2,5,,3,3,1|2|3,1,2,3,5|3|9,5,3,9,,4,3,2,2,2,1,3,2,4,3,2,3,2,2,1,4,2,3,2,3,1,5,2,3
2025,19,70,30,1|4|2,1,4,2,,4,,3|1|2,3,1,2,,2,3,2|1|3,2,1,3,7|6|8,7,6,8,,5,4,4,4,4,1,1,1,3,1,1,2,2,2,1,1,1,1,6,5,1,5,1,1
2025,20,60,40,1|2|5,1,2,5,,1,,1|5|2,1,5,2,,2,2,1|2|3,1,2,3,6|1|2,6,1,2,,3,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4
2025,21,20,80,1|2|4,1,2,4,,1,,1|2|3,1,2,3,,2,3,1|2|3,1,2,3,1|5|8,1,5,8,,4,4,4,4,4,3,3,3,4,3,3,3,2,2,2,2,2,3,4,4,4,5,3,6
2025,22,70,30,1|4|2,1,4,2,,1,,3|1|2,3,1,2,,3,3,1|2|3,1,2,3,9|2|3,9,2,3,,3,4,3,2,2,2,2,3,3,3,2,3,2,2,1,2,2,2,2,2,1,2,2,2
2025,23,60,40,1|2|3,1,2,3,,3,,3|2|1,3,2,1,,4,3,1|2|3,1,2,3,4|6|9,4,6,9,,4,5,2,2,3,2,2,2,4,4,4,4,3,3,3,2,3,5,5,4,6,6,2,4
2025,24,60,40,1|4|2,1,4,2,,2,,2|4|5,2,4,5,,2,2,1|2|3,1,2,3,7|8|9,7,8,9,,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
2025,25,30,70,2|1|4,2,1,4,,3,,1|5|4,1,5,4,,2,3,2|1|3,2,1,3,1|4|9,1,4,9,,5,3,3,2,3,1,4,3,2,2,4,3,2,3,4,2,4,4,3,4,3,4,1,2
2025,26,20,80,4|1|2,4,1,2,,1,,1|2|3,1,2,3,,3,3,1|2|3,1,2,3,2|1|4,2,1,4,,4,3,3,2,2,1,2,1,3,2,2,5,1,1,1,1,2,2,2,1,4,2,2,1
2025,27,40,60,1|2|4,1,2,4,,3,,1|4|5,1,4,5,,3,3,1|2|3,1,2,3,6|2|1,6,2,1,,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7
2025,28,30,70,1|2|4,1,2,4,,1,,3|1|2,3,1,2,,1,1,2|1|3,2,1,3,6|7|9,6,7,9,,4,4,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,4,5,4,3,5,3,4
2025,29,40,60,2|1|4,2,1,4,,1,,1|5|4,1,5,4,,3,3,1|2|3,1,2,3,5|2|8,5,2,8,,4,4,2,1,1,1,3,1,3,3,2,3,2,2,1,1,1,2,2,2,1,4,1,2
2025,30,40,60,1|2|4,1,2,4,,1,,5|1|2,5,1,2,,3,3,1|2|3,1,2,3,9|5|2,9,5,2,,5,5,4,3,3,2,4,3,4,3,3,4,4,4,3,2,3,5,5,4,6,5,3,4
2025,31,70,30,2|4|1,2,4,1,,3,,4|5|1,4,5,1,,3,2,1|2|3,1,2,3,1|6|5,1,6,5,,5,4,4,4,4,3,4,3,4,4,4,4,6,6,4,4,5,5,5,5,4,6,5,6
2025,32,80,20,2|3|1,2,3,1,,1,,2|3|5,2,3,5,,6,3,1|2|3,1,2,3,1|5|8,1,5,8,,5,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
2025,33,25,75,1|4|2,1,4,2,,3,,2|3|1,2,3,1,,3,4,1|2|3,1,2,3,4|7|2,4,7,2,,3,5,1,1,1,2,2,1,3,1,3,4,1,1,1,1,3,3,4,4,1,1,1,4
2025,34,70,30,2|1|4,2,1,4,,3,,5|1|4,5,1,4,,2,3,2|1|3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,35,70,30,2|4|1,2,4,1,,2,,5|1|3,5,1,3,,3,3,2|1|3,2,1,3,7|8|4,7,8,4,,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
2025,36,20,80,2|4|1,2,4,1,,3,,5|3|2,5,3,2,,6,3,1|2|3,1,2,3,9|1|5,9,1,5,,4,4,3,2,2,2,2,2,4,3,3,3,4,4,3,3,2,2,2,2,2,3,3,4
2025,37,30,70,1|3|2,1,3,2,,3,,2|3|5,2,3,5,,2,3,2|1|3,2,1,3,2|9|4,2,9,4,,4,5,2,2,2,2,2,2,4,3,2,4,1,1,1,1,1,1,3,1,1,3,1,3
2025,38,60,40,1|2|4,1,2,4,,1,,4|5|1,4,5,1,,2,3,1|2|3,1,2,3,1|7|9,1,7,9,,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,6,7,7,7,7,6,7,6,7
2025,39,30,70,1|2|3,1,2,3,,1,,3|1|4,3,1,4,,2,3,1|2|3,1,2,3,1|2|5,1,2,5,,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
2025,40,70,30,2|4|1,2,4,1,,1,,5|1|2,5,1,2,,3,3,2|1|3,2,1,3,1|3|7,1,3,7,,5,4,3,2,2,2,3,2,4,2,3,3,4,4,3,3,2,3,3,3,3,4,2,3
2025,41,90,10,1|2|4,1,2,4,,1,,1|2|3,1,2,3,,2,2,2|1|3,2,1,3,1|8|2,1,8,2,,4,4,3,2,3,1,3,1,1,1,2,3,1,1,1,1,2,2,2,3,1,3,1,1
2025,42,60,40,1|2|4,1,2,4,현재 서류 검토할 공간이 다소 협소함. 실물 서류를 검토하는 부서의 특수성 반영되어야 함.,1,,3|1|2,3,1,2,,3,2,1|2|3,1,2,3,1|5|6,1,5,6,,5,5,3,2,2,1,3,1,4,3,2,2,3,3,1,2,2,4,4,4,2,4,3,2
2025,43,40,60,1|4|2,1,4,2,,1,,3|2|5,3,2,5,,2,2,1|2|3,1,2,3,2|7|8,2,7,8,,5,5,1,1,1,1,1,1,3,1,1,3,4,5,2,1,2,2,3,4,1,4,1,4
2025,44,80,20,4|1|2,4,1,2,,2,,1|5|4,1,5,4,,4,3,1|2|3,1,2,3,2|9|7,2,9,7,,5,2,3,1,2,1,2,1,4,3,3,3,4,5,1,3,3,2,5,2,1,4,1,1
2025,45,70,30,1|4|2,1,4,2,,2,,3|1|5,3,1,5,,2,2,1|3|4,1,3,4,1|8|9,1,8,9,,4,4,3,3,3,4,4,3,4,4,4,4,4,3,3,2,3,4,4,5,2,6,2,6
2025,46,80,20,1|2|4,1,2,4,,1,,3|1|2,3,1,2,,2,2,1|2|3,1,2,3,1|4|7,1,4,7,,5,4,3,3,2,2,2,2,4,3,3,3,3,3,2,1,3,3,3,4,1,3,2,4
2025,47,80,20,2|1|4,2,1,4,,1,,3|5|1,3,5,1,,2,3,2|1|3,2,1,3,8|1|4,8,1,4,,5,5,5,1,1,5,5,1,5,1,5,5,7,7,1,1,1,1,1,7,1,7,1,7
2025,48,70,30,1|4|2,1,4,2,,1,,1|3|2,1,3,2,,3,3,1|2|3,1,2,3,1|7|9,1,7,9,,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2
2025,49,80,20,1|2|4,1,2,4,,2,,2|1|4,2,1,4,,2,2,2|1|3,2,1,3,2|5|8,2,5,8,,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6
2025,50,70,30,1|4|2,1,4,2,,1,,1|5|4,1,5,4,,2,3,2|1|3,2,1,3,1|7|8,1,7,8,,4,2,4,2,3,2,3,2,3,2,3,3,2,2,2,2,2,5,5,5,2,2,2,2
2025,51,90,10,1|4|2,1,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,52,40,60,4|2|1,4,2,1,,4,,5|1|2,5,1,2,,3,3,2|1|3,2,1,3,9|6|7,9,6,7,,4,4,2,1,2,1,1,2,3,2,1,2,3,1,3,2,2,4,1,3,1,3,1,2
2025,53,60,40,2|4|1,2,4,1,,2,,1|5|3,1,5,3,,2,3,1|2|3,1,2,3,1|7|3,1,7,3,,3,4,1,2,2,2,2,1,3,2,3,2,1,2,2,1,1,2,2,2,1,2,2,2
